@relation 'KDDTrain20P_05A.arff-weka.filters.unsupervised.attribute.Remove-R42-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.SortLabels-R2-SNON-CASE-weka.filters.unsupervised.attribute.OrdinalToNumeric-R2-4-weka.filters.unsupervised.attribute.MathExpression-Elog(1+A)-Rlast-weka.filters.unsupervised.attribute.Remove-V-R5,3,28,4,6,27,33,21,31,32,last'

@attribute src_bytes numeric
@attribute service numeric
@attribute diff_srv_rate numeric
@attribute flag numeric
@attribute dst_bytes numeric
@attribute same_srv_rate numeric
@attribute dst_host_diff_srv_rate numeric
@attribute count numeric
@attribute dst_host_srv_count numeric
@attribute dst_host_same_srv_rate numeric
@attribute class {normal,dos,r2l,probe,u2r}

@data
5.398163,1.386294,0,0,7.243513,0.693147,0,3.295837,5.545177,0.693147,normal
3.78419,2.484907,0,0,4.248495,0.693147,0.00995,4.795791,5.505332,0.672944,normal
3.806662,2.484907,0,0,4.89784,0.693147,0.019803,4.304065,5.361292,0.631272,normal
2.197225,2.079442,0,0,0,0.693147,0,0.693147,3.850148,0.693147,probe
0,2.890372,0.058269,0.693147,0,0.067659,0.067659,4.912655,2.484907,0.039221,dos
0,2.397895,0.076961,0.693147,0,0.405465,0.039221,3.218876,4.094345,0.207014,dos
3.78419,2.484907,0,0,3.78419,0.693147,0,5.003946,5.545177,0.693147,normal
6.464588,0,0,0,0,0.693147,0.019803,1.098612,3.89182,0.223144,normal
0,1.098612,0.058269,1.098612,0,0.019803,0.076961,5.332719,1.609438,0.019803,dos
0,1.098612,0.693147,1.098612,0,0.00995,0.609766,5.170484,0.693147,0,probe
5.739793,1.386294,0,0,7.935587,0.693147,0,1.609438,5.545177,0.693147,normal
0,1.098612,0.076961,1.098612,0,0.14842,0.067659,4.158883,2.397895,0.039221,dos
6.546785,2.772589,0,0,5.811141,0.693147,0.039221,0.693147,4.89784,0.329304,normal
0,2.944439,0,1.386294,0,0.693147,0.457425,0.693147,0.693147,0,probe
0,1.386294,0.076961,0.693147,0,0.314811,0.019803,3.970292,4.219508,0.231112,dos
0,2.944439,0.058269,1.098612,0,0.058269,0.067659,4.836282,1.94591,0.019803,dos
0,2.564949,0.058269,0.693147,0,0.113329,0.058269,5.129899,3.091042,0.076961,dos
5.402677,1.386294,0,0,7.965198,0.693147,0,0.693147,4.077537,0.693147,normal
0,1.098612,0.058269,0.693147,0,0.10436,0.04879,4.983607,3.465736,0.113329,dos
5.204007,2.995732,0.512824,0,0,0.512824,0.00995,1.386294,4.543295,0.307485,normal
3.7612,2.484907,0,0,3.7612,0.693147,0.019803,2.302585,4.430817,0.688135,normal
0,1.098612,0.058269,0.693147,0,0.039221,0.067659,4.934474,1.94591,0.019803,dos
2.564949,0,0,0,0,0.693147,0.067659,0.693147,3.871201,0.438255,normal
0,3.044522,0.058269,0.693147,0,0.029559,0.058269,5.624018,2.302585,0.039221,dos
5.351858,1.386294,0,0,7.934155,0.693147,0,2.397895,5.545177,0.693147,normal
5.774552,1.386294,0,0,8.64541,0.693147,0,2.397895,5.545177,0.693147,normal
0,1.098612,0.058269,1.098612,0,0.029559,0.067659,5.517453,2.197225,0.029559,dos
5.799093,1.386294,0,0,8.289791,0.693147,0,1.098612,5.545177,0.693147,normal
0,2.639057,0.067659,1.098612,0,0.04879,0.067659,4.912655,2.079442,0.029559,dos
0,3.091042,0.04879,0.693147,0,0.086178,0.067659,5.398163,1.098612,0.00995,dos
2.197225,2.079442,0,0,0,0.693147,0,0.693147,4.564348,0.693147,probe
5.771441,1.386294,0,0,5.940171,0.693147,0,2.302585,5.545177,0.693147,normal
0,1.098612,0.04879,0.693147,0,0.029559,0.10436,5.361292,2.079442,0.09531,dos
5.420535,1.386294,0,0,8.232972,0.693147,0,2.397895,5.545177,0.693147,normal
0,3.135494,0.058269,0.693147,0,0.04879,0.067659,5.525453,0.693147,0,dos
0,1.098612,0.04879,1.098612,0,0.10436,0.058269,4.890349,2.772589,0.058269,dos
4.990433,0.693147,0.512824,0,4.663439,0.512824,0.431782,1.386294,1.098612,0.019803,normal
5.513429,1.386294,0,0,7.256297,0.693147,0,2.484907,5.545177,0.693147,normal
5.869297,1.386294,0,0,7.302496,0.693147,0,1.386294,5.545177,0.693147,normal
3.806662,2.484907,0.019803,0,3.806662,0.688135,0.00995,4.70048,5.541264,0.693147,normal
0,1.098612,0.04879,1.098612,0,0.113329,0.076961,4.990433,2.397895,0.039221,dos
0,2.833213,0.058269,0.693147,0,0.019803,0.067659,5.70711,1.386294,0.00995,dos
8.028129,2.772589,0,0,5.805135,0.693147,0.019803,0.693147,4.787492,0.392042,normal
4.634729,0.693147,0,0,4.634729,0.693147,0.254642,0.693147,0.693147,0.131028,normal
5.560682,1.386294,0,0,6.621406,0.693147,0,1.609438,5.545177,0.693147,normal
4.997212,0.693147,0,0,4.663439,0.693147,0.350657,1.098612,1.098612,0.00995,normal
0,1.098612,0.04879,0.693147,0,0.113329,0.04879,4.867534,2.564949,0.04879,dos
0,1.386294,0,0,5.872118,0.693147,0,3.496508,5.545177,0.693147,normal
5.736572,1.386294,0,0,5.726848,0.693147,0,0.693147,5.545177,0.693147,normal
0,1.386294,0,1.098612,0,0.693147,0,0.693147,5.513429,0.693147,normal
5.631212,1.386294,0,0,8.885718,0.693147,0,1.386294,5.545177,0.693147,normal
3.367296,1.098612,0,0,0,0.693147,0.254642,4.418841,5.209486,0.536493,dos
5.749393,1.386294,0,0,6.635947,0.693147,0,0.693147,5.545177,0.693147,normal
5.393628,1.386294,0,0,7.100852,0.693147,0,2.772589,5.545177,0.693147,normal
5.505332,1.386294,0,0,9.123256,0.693147,0,1.098612,5.545177,0.693147,normal
5.796058,1.386294,0,0,7.716015,0.693147,0,3.091042,5.545177,0.693147,normal
0,1.386294,0,1.098612,0,0.693147,0,0.693147,5.521461,0.693147,normal
5.529429,1.386294,0,0,5.710427,0.693147,0.00995,1.386294,5.533389,0.688135,normal
7.644919,2.772589,0.693147,0,5.817111,0.405465,0.029559,1.098612,5.030438,0.470004,normal
0,1.386294,0,1.098612,0,0.693147,0,0.693147,5.545177,0.693147,normal
5.472271,1.386294,0,0,6.238325,0.693147,0,0.693147,5.545177,0.693147,normal
5.783825,1.386294,0,0,6.068426,0.693147,0,1.609438,5.545177,0.693147,normal
0.693147,1.098612,0,1.386294,0,0.693147,0.524729,1.098612,1.098612,0.00995,probe
0,2.70805,0.04879,1.098612,0,0.139762,0.067659,4.70953,2.890372,0.067659,dos
4.663439,1.098612,0.405465,0,4.983607,0.223144,0.00995,1.609438,5.480639,0.662688,normal
5.389072,1.386294,0,0,6.882437,0.693147,0,1.94591,5.545177,0.693147,normal
5.786897,1.386294,0,0,7.882315,0.693147,0,2.079442,5.545177,0.693147,normal
0,2.639057,0.067659,1.098612,0,0.076961,0.067659,5.509388,3.044522,0.076961,dos
0,3.178054,0.067659,1.098612,0,0.067659,0.076961,5.609472,2.995732,0.067659,dos
0,2.833213,0.067659,0.693147,0,0.029559,0.076961,5.560682,2.197225,0.029559,dos
5.796058,1.386294,0,0,5.620401,0.693147,0.00995,2.302585,5.525453,0.683097,normal
0,3.178054,0.04879,0.693147,0,0.019803,0.067659,5.686975,2.197225,0.029559,dos
2.302585,2.397895,0,0,4.934474,0.693147,0.029559,0.693147,2.397895,0.029559,normal
3.850148,2.484907,0,0,3.850148,0.693147,0.00995,4.574711,5.541264,0.693147,normal
6.984716,2.772589,0,0,5.814131,0.693147,0.029559,0.693147,5.123964,0.451076,normal
3.828641,2.484907,0,0,4.941642,0.693147,0.00995,4.382027,5.541264,0.693147,normal
5.613128,3.135494,0,0,6.806829,0.693147,0.019803,0.693147,3.912023,0.24686,normal
0,1.098612,0.058269,0.693147,0,0.10436,0.076961,5.252273,3.044522,0.076961,dos
0,3.218876,0.058269,1.098612,0,0.039221,0.067659,4.912655,0.693147,0,dos
5.472271,1.386294,0,0,4.934474,0.693147,0,1.098612,1.098612,0.693147,normal
5.420535,1.386294,0,0,7.213768,0.693147,0,0.693147,5.545177,0.693147,normal
0,1.098612,0.058269,0.693147,0,0.058269,0.076961,4.820282,2.079442,0.029559,dos
0,2.564949,0.058269,0.693147,0,0.076961,0.067659,5.505332,2.079442,0.029559,dos
4.997212,0.693147,0.512824,0,0,0.285179,0.476234,1.386294,0.693147,0,normal
5.572154,1.386294,0,0,6.919684,0.693147,0,1.386294,5.545177,0.693147,normal
6.940222,3.258097,0,0,0,0.693147,0,5.575949,5.545177,0.693147,dos
0,1.098612,0.058269,0.693147,0,0.113329,0.058269,4.70048,2.079442,0.029559,dos
5.568345,1.386294,0,0,9.037533,0.693147,0,2.302585,5.545177,0.693147,normal
0,3.178054,0.076961,1.098612,0,0.058269,0.086178,4.983607,2.197225,0.029559,dos
0,2.944439,0.067659,1.098612,0,0.00995,0.067659,5.525453,1.098612,0.00995,dos
5.686975,1.386294,0,0,7.45008,0.693147,0,2.197225,5.545177,0.693147,normal
5.402677,1.386294,0,0,6.889591,0.693147,0,1.098612,4.418841,0.693147,normal
5.652489,1.386294,0,0,9.245032,0.693147,0,1.098612,5.545177,0.693147,normal
0,3.295837,0,1.609438,0,0.693147,0.693147,0.693147,0.693147,0,probe
5.736572,1.386294,0,0,9.686388,0.693147,0,1.386294,4.867534,0.693147,normal
5.814131,0,0,0,0,0.693147,0,1.098612,3.295837,0.693147,r2l
0,2.302585,0.270027,0.693147,0,0.270027,0.019803,2.639057,4.174387,0.223144,dos
0,1.098612,0.067659,0.693147,0,0.00995,0.058269,4.477337,0.693147,0,dos
5.370638,1.386294,0,0,5.648974,0.693147,0,1.098612,5.545177,0.693147,normal
0,3.332205,0.04879,0.693147,0,0.039221,0.076961,5.680173,2.70805,0.04879,dos
0,3.367296,0.04879,0.693147,0,0.058269,0.076961,5.690359,0.693147,0,dos
0,3.401197,0.058269,0.693147,0,0.09531,0.04879,4.969813,2.772589,0.058269,dos
3.850148,2.484907,0.00995,0,4.369448,0.693147,0.00995,5.631212,5.541264,0.693147,normal
6.618739,0,0,0,0,0.693147,0.285179,0.693147,4.532599,0.604316,normal
0,3.433987,0.058269,0.693147,0,0.173953,0.058269,4.634729,2.944439,0.067659,dos
2.197225,2.079442,0,0,0,0.693147,0,0.693147,2.772589,0.693147,probe
0,3.465736,0.067659,0.693147,0,0.00995,0.076961,5.529429,1.386294,0.00995,dos
5.799093,1.386294,0,0,9.040501,0.693147,0,1.609438,5.545177,0.693147,normal
2.302585,0,0,0,0,0.693147,0.322083,1.098612,4.787492,0.405465,normal
3.850148,2.484907,0,0,4.859812,0.693147,0.00995,5.407172,5.537334,0.688135,normal
7.477038,0,0,0,0,0.693147,0.019803,1.098612,1.94591,0.019803,normal
0,1.609438,0.058269,0.693147,0,0.019803,0.067659,5.56452,1.609438,0.019803,dos
0.693147,0.693147,0,1.386294,0,0.693147,0.553885,1.098612,1.098612,0.00995,probe
2.197225,2.397895,0,0,4.912655,0.693147,0.029559,0.693147,1.94591,0.029559,normal
5.587249,1.386294,0,0,6.272877,0.693147,0,0.693147,5.545177,0.693147,normal
5.505332,0,0.512824,0,0,0.512824,0.058269,1.386294,4.234107,0.277632,normal
5.690359,1.386294,0,0,6.144186,0.693147,0,2.484907,5.545177,0.693147,normal
0,3.295837,0.10436,0.693147,0,0.239017,0.076961,3.806662,2.564949,0.04879,dos
5.433722,1.386294,0,0,8.829812,0.693147,0,1.098612,2.995732,0.693147,normal
6.940222,3.258097,0,0,0,0.693147,0.019803,6.238325,5.361292,0.604316,dos
0,3.496508,0.058269,1.098612,0,0.058269,0.067659,5.609472,2.772589,0.058269,dos
0,1.098612,0.067659,0.693147,0,0.14842,0.04879,4.812184,2.995732,0.067659,dos
0,3.465736,0.04879,0.693147,0,0.00995,0.04879,5.66296,1.386294,0.00995,dos
0,1.386294,0,1.098612,0,0.693147,0,0.693147,5.278115,0.693147,normal
0,0.693147,0.667829,1.098612,0,0,0.647103,6.188264,0.693147,0,probe
0.693147,0.693147,0.086178,0,0,0.239017,0.058269,3.135494,1.94591,0.019803,probe
0,3.526361,0.058269,0.693147,0,0.029559,0.067659,5.659482,2.484907,0.039221,dos
3.433987,3.258097,0,0,0,0.693147,0,0.693147,5.513429,0.693147,normal
7.639642,2.772589,0,0,5.811141,0.693147,0.029559,0.693147,4.770685,0.270027,normal
2.995732,0,0,0,0,0.693147,0.039221,0.693147,1.791759,0.019803,normal
6.495266,2.772589,0,0,5.799093,0.693147,0.019803,0.693147,4.248495,0.307485,normal
3.367296,1.098612,0.058269,0,0,0.678034,0.019803,3.583519,3.555348,0.122218,dos
0,0,0.131028,0.693147,0,0.067659,0.029559,3.367296,3.7612,0.14842,dos
0,1.098612,0.067659,0.693147,0,0.157004,0.067659,4.691348,2.944439,0.067659,dos
0,1.098612,0.058269,0.693147,0,0.04879,0.067659,4.624973,2.772589,0.058269,dos
6.981006,2.772589,0,0,5.899897,0.693147,0.157004,0.693147,4.615121,0.329304,normal
5.411646,1.386294,0,0,6.487684,0.693147,0,2.564949,5.545177,0.693147,normal
5.860786,3.135494,0,0,7.078342,0.693147,0.019803,0.693147,4.962845,0.444686,r2l
5.455321,1.386294,0,0,7.812378,0.693147,0,2.397895,5.545177,0.693147,normal
0,1.098612,0.067659,0.693147,0,0.039221,0.04879,5.411646,2.302585,0.039221,dos
0,3.555348,0.058269,0.693147,0,0.076961,0.058269,5.411646,2.890372,0.067659,dos
5.308268,1.386294,0,0,7.569928,0.693147,0,2.995732,5.545177,0.693147,normal
5.605802,1.386294,0,0,8.472614,0.693147,0,1.609438,3.367296,0.693147,normal
9.576163,0,0,0,0,0.693147,0.019803,0.693147,3.931826,0.173953,normal
5.429346,1.386294,0,0,9.355739,0.693147,0,1.791759,3.970292,0.693147,normal
0,1.098612,0.41871,1.098612,0,0,0.41871,6.008813,0.693147,0,probe
5.420535,1.386294,0,0,7.802209,0.693147,0,1.609438,5.545177,0.693147,normal
5.17615,1.386294,0,0,6.056784,0.693147,0,1.94591,5.545177,0.693147,normal
0,3.583519,0.058269,0.693147,0,0.09531,0.058269,4.969813,2.70805,0.04879,dos
5.429346,1.386294,0,0,6.637258,0.693147,0,2.890372,5.545177,0.693147,normal
6.75227,2.772589,0,0,6.356108,0.693147,0.019803,0.693147,3.044522,0.076961,normal
6.851185,2.772589,0,0,5.802118,0.693147,0.019803,0.693147,5.117994,0.48858,normal
6.861711,2.772589,0.693147,0,5.78996,0.405465,0.10436,1.098612,4.65396,0.536493,normal
0,2.639057,0.058269,0.693147,0,0.086178,0.067659,5.308268,2.944439,0.067659,dos
5.117994,1.386294,0,0,10.45337,0.693147,0,0.693147,5.545177,0.693147,normal
5.726848,1.386294,0,0,7.900637,0.693147,0.00995,1.609438,5.484797,0.662688,normal
0,1.94591,0.04879,0.693147,0,0.139762,0.04879,4.828314,2.995732,0.067659,dos
0,1.098612,0.693147,1.098612,0,0.00995,0.587787,5.09375,0.693147,0,probe
7.300473,3.258097,0,0,0,0.693147,0,1.098612,3.663562,0.693147,dos
0,3.526361,0.04879,0.693147,0,0.058269,0.067659,5.627621,2.890372,0.067659,dos
5.749393,1.386294,0,0,9.053687,0.693147,0,1.609438,5.545177,0.693147,normal
0,3.610918,0.04879,0.693147,0,0.076961,0.04879,5.616771,3.135494,0.086178,dos
0,3.637586,0.058269,0.693147,0,0.086178,0.058269,4.955827,2.833213,0.058269,dos
5.655992,1.386294,0,0,8.701014,0.693147,0,1.386294,5.545177,0.693147,normal
5.42495,1.386294,0,0,7.252762,0.693147,0,2.197225,5.545177,0.693147,normal
5.549076,1.386294,0,0,9.47155,0.693147,0,0.693147,5.545177,0.693147,normal
8.227108,2.772589,0,0,6.109248,0.693147,0.019803,0.693147,5.225747,0.518794,normal
5.4161,1.386294,0,0,6.109248,0.693147,0,2.397895,5.545177,0.693147,normal
0,3.663562,0.067659,0.693147,0,0.029559,0.067659,4.644391,1.386294,0.00995,dos
6.725034,0,0,0,0,0.693147,0,0.693147,3.367296,0.693147,r2l
0,2.397895,0.058269,0.693147,0,0.076961,0.067659,5.509388,3.044522,0.076961,dos
2.197225,2.079442,0,0,0,0.693147,0,0.693147,3.258097,0.693147,probe
5.308268,1.386294,0,0,5.135798,0.693147,0,2.079442,5.545177,0.693147,normal
5.655992,1.386294,0,0,5.720312,0.693147,0,3.496508,5.545177,0.693147,normal
0,3.688879,0.04879,0.693147,0,0.173953,0.04879,4.836282,3.218876,0.086178,dos
8.912339,0,0,0,0,0.693147,0.019803,2.197225,3.806662,0.157004,normal
5.293305,1.386294,0,0,9.463819,0.693147,0,1.098612,1.098612,0.693147,normal
7.745436,2.772589,0,0,5.796058,0.693147,0.019803,0.693147,5.062595,0.482426,normal
5.805135,1.386294,0,0,6.862758,0.693147,0,1.94591,5.545177,0.693147,normal
4.189655,2.995732,0.198851,0,0,0.198851,0.00995,2.302585,2.833213,0.058269,normal
3.367296,1.098612,0,0,0,0.693147,0.00995,1.609438,4.276666,0.24686,dos
3.828641,2.484907,0,0,4.356709,0.693147,0.00995,5.147494,5.451038,0.647103,normal
0,3.135494,0.058269,1.791759,0,0.00995,0.067659,5.525453,1.386294,0.00995,dos
0,3.044522,0.067659,0.693147,0,0.029559,0.067659,5.476464,2.079442,0.029559,dos
0,3.688879,0.067659,0.693147,0,0.019803,0.058269,4.634729,1.098612,0.00995,dos
2.302585,2.397895,0,0,4.962845,0.693147,0.029559,0.693147,2.564949,0.04879,normal
5.648974,1.386294,0,0,6.816736,0.693147,0,1.098612,5.545177,0.693147,normal
5.402677,1.386294,0,0,7.489971,0.693147,0,1.098612,5.545177,0.693147,normal
2.944439,2.079442,0,0,0,0.693147,0,0.693147,4.820282,0.693147,probe
0,3.332205,0.058269,0.693147,0,0.00995,0.067659,5.641907,1.386294,0.00995,dos
0,2.302585,0.122218,0.693147,0,0.067659,0.029559,3.433987,3.970292,0.182322,dos
0,0,0.058269,0.693147,0,0.029559,0.058269,5.624018,2.197225,0.029559,dos
5.713733,1.386294,0,0,7.230563,0.693147,0.019803,1.791759,5.236442,0.631272,normal
0,1.098612,0.086178,0.693147,0,0.058269,0.09531,5.099866,2.302585,0.039221,dos
2.197225,2.079442,0,0,0,0.693147,0,0.693147,4.110874,0.693147,probe
0,1.098612,0.058269,0.693147,0,0.067659,0.04879,5.710427,2.995732,0.067659,dos
5.874931,1.386294,0,0,6.769642,0.693147,0,3.367296,5.545177,0.693147,normal
2.197225,2.079442,0,0,0,0.693147,0,0.693147,4.158883,0.693147,probe
4.672829,2.302585,0,0,7.292337,0.693147,0.039221,0.693147,0.693147,0.00995,normal
5.659482,1.386294,0,0,7.261225,0.693147,0,2.833213,5.545177,0.693147,normal
0.693147,0.693147,0,1.386294,0,0.693147,0.553885,1.098612,1.098612,0.00995,probe
0,3.713572,0,1.609438,0,0.693147,0.693147,0.693147,0.693147,0,probe
6.940222,3.258097,0,0,0,0.693147,0.019803,3.850148,3.850148,0.165514,dos
5.129899,1.386294,0,0,9.164506,0.693147,0,0.693147,5.545177,0.693147,normal
5.476464,1.386294,0,0,6.76273,0.693147,0,3.688879,5.545177,0.693147,normal
0,1.098612,0,1.386294,0,0.693147,0.322083,0.693147,0.693147,0,probe
5.676754,1.386294,0,0,9.246672,0.693147,0,1.94591,5.545177,0.693147,normal
0,3.332205,0.04879,0.693147,0,0.09531,0.04879,5.356586,3.135494,0.086178,dos
6.620073,2.772589,0,0,5.802118,0.693147,0.10436,0.693147,4.867534,0.553885,normal
5.293305,1.386294,0,0,8.842893,0.693147,0,2.564949,5.545177,0.693147,normal
0,2.197225,0.058269,1.098612,0,0.039221,0.067659,5.638355,2.484907,0.039221,dos
5.123964,1.386294,0,0,6.565265,0.693147,0,0.693147,5.545177,0.693147,normal
5.488938,1.386294,0,0,6.747587,0.693147,0,2.890372,5.545177,0.693147,normal
5.823046,1.386294,0,0,8.119994,0.693147,0,1.94591,5.545177,0.693147,normal
6.593045,2.772589,0,0,5.796058,0.693147,0.039221,0.693147,5.056246,0.34359,normal
2.197225,2.079442,0,0,0,0.693147,0,0.693147,4.718499,0.693147,probe
0,2.833213,0.058269,0.693147,0,0,0.067659,5.308268,1.609438,0.019803,dos
5.407172,1.386294,0,0,7.302496,0.693147,0,1.386294,5.545177,0.693147,normal
0,3.044522,0.058269,1.098612,0,0.04879,0.067659,5.624018,2.70805,0.04879,dos
0,1.386294,0,1.098612,0,0.693147,0,0.693147,5.545177,0.693147,normal
3.850148,2.484907,0,0,4.905275,0.693147,0,4.983607,5.545177,0.693147,normal
5.509388,1.386294,0,0,7.908387,0.693147,0,0.693147,5.545177,0.693147,normal
5.407172,1.386294,0,0,6.648985,0.693147,0,2.197225,5.545177,0.693147,normal
0,3.332205,0.04879,0.693147,0,0.039221,0.04879,5.556828,2.397895,0.039221,dos
0,1.098612,0.058269,0.693147,0,0.04879,0.067659,5.549076,2.397895,0.039221,dos
5.63479,2.302585,0,0,9.169414,0.693147,0.00995,0.693147,4.736198,0.371564,normal
5.42495,1.386294,0,0,6.480045,0.693147,0,2.564949,5.545177,0.693147,normal
5.703782,1.386294,0,0,6.104793,0.693147,0,3.295837,5.545177,0.693147,normal
0,1.386294,0.254642,0.693147,0,0.357674,0.039221,2.70805,3.295837,0.24686,dos
2.564949,0,0,0,0,0.693147,0.239017,1.098612,4.488636,0.307485,normal
5.641907,1.386294,0,0,7.57661,0.693147,0,3.433987,5.545177,0.693147,normal
0,3.178054,0.04879,0.693147,0,0.165514,0.04879,4.934474,3.258097,0.09531,dos
3.7612,2.484907,0,0,3.7612,0.693147,0.00995,1.609438,5.505332,0.672944,normal
0,3.135494,0.058269,0.693147,0,0.019803,0.067659,5.70711,2.079442,0.029559,dos
0,3.73767,0.067659,0.693147,0,0.04879,0.067659,5.298317,2.302585,0.039221,dos
5.575949,1.386294,0,0,6.118097,0.693147,0,2.772589,5.545177,0.693147,normal
0.693147,1.098612,0,1.386294,0,0.693147,0.405465,1.098612,1.098612,0.00995,probe
0,3.135494,0,1.791759,0,0.693147,0.019803,0.693147,3.78419,0.182322,normal
0,1.098612,0.058269,0.693147,0,0.09531,0.058269,4.976734,3.433987,0.113329,dos
0,3.713572,0.067659,0.693147,0,0.039221,0.067659,4.65396,2.944439,0.067659,dos
